"N_t","metric","mean","min","max","phase","strategy"
29,"Common Alleles",0.937439890710382,0.841054882394868,0.975647422190544,"Additional sampling","5 indv. per site"
30,"Common Alleles",0.939721667854597,0.863506771204562,0.975409836065574,"Additional sampling","5 indv. per site"
31,"Common Alleles",0.948970064148254,0.857329531955334,0.981111903064861,"Additional sampling","5 indv. per site"
32,"Common Alleles",0.953120574958422,0.869565217391304,0.98016155856498,"Additional sampling","5 indv. per site"
33,"Common Alleles",0.956048111190307,0.886433832264196,0.981349489189831,"Additional sampling","5 indv. per site"
34,"Common Alleles",0.956650154430981,0.893086243763364,0.980993110002376,"Additional sampling","5 indv. per site"
35,"Common Alleles",0.959549061534806,0.897244000950345,0.983368971252079,"Additional sampling","5 indv. per site"
36,"Common Alleles",0.965359705393205,0.917082442385365,0.987170349251604,"Additional sampling","5 indv. per site"
37,"Common Alleles",0.967828462817771,0.903421240199572,0.986813970064148,"Additional sampling","5 indv. per site"
6,"Rare Alleles",0.0761174997495743,0.0627066012220775,0.0931583692276871,"Additional sampling","5 indv. per site"
7,"Rare Alleles",0.0918298106781529,0.0743263548031654,0.112591405389162,"Additional sampling","5 indv. per site"
8,"Rare Alleles",0.105190123209456,0.0780326555143744,0.132625463287589,"Additional sampling","5 indv. per site"
9,"Rare Alleles",0.115436141440449,0.0822398076730442,0.150656115396173,"Additional sampling","5 indv. per site"
10,"Rare Alleles",0.125937694079936,0.0866473004106982,0.166382850846439,"Additional sampling","5 indv. per site"
11,"Rare Alleles",0.147490133226485,0.100971651808074,0.191124912350997,"Additional sampling","5 indv. per site"
12,"Rare Alleles",0.161802263848543,0.109786637283382,0.214164078934188,"Additional sampling","5 indv. per site"
13,"Rare Alleles",0.172820094160072,0.115696684363418,0.223780426725433,"Additional sampling","5 indv. per site"
14,"Rare Alleles",0.183108183912652,0.117800260442753,0.2433136331764,"Additional sampling","5 indv. per site"
15,"Rare Alleles",0.190705599519183,0.123109285785836,0.259941901232095,"Additional sampling","5 indv. per site"
16,"Rare Alleles",0.210089351898227,0.141139937894421,0.278773915656616,"Additional sampling","5 indv. per site"
17,"Rare Alleles",0.222474606831614,0.146849644395472,0.289091455474306,"Additional sampling","5 indv. per site"
18,"Rare Alleles",0.232076530101172,0.155464289291796,0.298307122107583,"Additional sampling","5 indv. per site"
19,"Rare Alleles",0.241813082239808,0.157567865371131,0.310728238004608,"Additional sampling","5 indv. per site"
20,"Rare Alleles",0.249420414704999,0.156766503055194,0.326054292296905,"Additional sampling","5 indv. per site"
21,"Rare Alleles",0.26516167484724,0.174997495742763,0.338375237904438,"Additional sampling","5 indv. per site"
22,"Rare Alleles",0.276312531303215,0.193428829009316,0.349794650906541,"Additional sampling","5 indv. per site"
23,"Rare Alleles",0.285279174596815,0.191325252929981,0.364319342882901,"Additional sampling","5 indv. per site"
24,"Rare Alleles",0.293771912250826,0.216367825303015,0.37133126314735,"Additional sampling","5 indv. per site"
25,"Rare Alleles",0.300855554442552,0.192527296403887,0.385956125413202,"Additional sampling","5 indv. per site"
26,"Rare Alleles",0.313537613943704,0.208855053591105,0.392567364519683,"Additional sampling","5 indv. per site"
27,"Rare Alleles",0.325375538415306,0.24471601722929,0.395472302914955,"Additional sampling","5 indv. per site"
28,"Rare Alleles",0.332308424321346,0.240909546228589,0.408694781127917,"Additional sampling","5 indv. per site"
29,"Rare Alleles",0.340139036361815,0.241710908544526,0.417008915155765,"Additional sampling","5 indv. per site"
30,"Rare Alleles",0.345580186316738,0.255233897625964,0.428528498447361,"Additional sampling","5 indv. per site"
31,"Rare Alleles",0.359831012721627,0.262446158469398,0.434037864369428,"Additional sampling","5 indv. per site"
32,"Rare Alleles",0.369074426525093,0.261945307021937,0.433537012921967,"Additional sampling","5 indv. per site"
33,"Rare Alleles",0.377070820394671,0.277772212761695,0.451768005609536,"Additional sampling","5 indv. per site"
34,"Rare Alleles",0.38096644295302,0.294700991685866,0.452168686767505,"Additional sampling","5 indv. per site"
35,"Rare Alleles",0.389469798657718,0.291896223580086,0.480516878693779,"Additional sampling","5 indv. per site"
36,"Rare Alleles",0.401822898928178,0.323750375638586,0.473705299008314,"Additional sampling","5 indv. per site"
37,"Rare Alleles",0.409424822197736,0.314334368426325,0.473404788139838,"Additional sampling","5 indv. per site"
