"N_t","metric","mean","min","max","phase","strategy"
28,"Mean kinship coefficient",0.0289889309587851,0.0108087561407308,0.0634838659598685,"Additional sampling","5 indv. per site"
29,"Mean kinship coefficient",0.0285144980394008,0.0100633246827494,0.0573860705666731,"Additional sampling","5 indv. per site"
30,"Mean kinship coefficient",0.0276411683913185,0.00982900482762641,0.0630966076976045,"Additional sampling","5 indv. per site"
31,"Mean kinship coefficient",0.0263317246413194,0.00878647273375538,0.0525962428813594,"Additional sampling","5 indv. per site"
32,"Mean kinship coefficient",0.0250380061074555,0.00955868524521763,0.0481666041484268,"Additional sampling","5 indv. per site"
33,"Mean kinship coefficient",0.0238548894845293,0.00808959063232524,0.0456669886501999,"Additional sampling","5 indv. per site"
34,"Mean kinship coefficient",0.0235499030869915,0.0091523959516523,0.0532234184845081,"Additional sampling","5 indv. per site"
35,"Mean kinship coefficient",0.0229043446170682,0.00749783383645205,0.0474562058179509,"Additional sampling","5 indv. per site"
36,"Mean kinship coefficient",0.022068329661884,0.00708464460693059,0.0440149119954521,"Additional sampling","5 indv. per site"
37,"Mean kinship coefficient",0.0208451381720622,0.00641336914995155,0.0434637696322338,"Additional sampling","5 indv. per site"
