"N_t","metric","mean","min","max","phase","strategy"
17,"Rare Alleles",0.21065881999399,0.135530401682861,0.277471701893218,"Additional sampling","5 indv. per site"
18,"Rare Alleles",0.222232194731043,0.14204147049985,0.289391966342783,"Additional sampling","5 indv. per site"
19,"Rare Alleles",0.230413302614445,0.14063908644696,0.303215466292698,"Additional sampling","5 indv. per site"
20,"Rare Alleles",0.238946609235701,0.145447260342582,0.317038966242612,"Additional sampling","5 indv. per site"
21,"Rare Alleles",0.254830011018732,0.164780126214565,0.33286587198237,"Additional sampling","5 indv. per site"
22,"Rare Alleles",0.267906641290193,0.169387959531203,0.33707302414104,"Additional sampling","5 indv. per site"
23,"Rare Alleles",0.275300611038766,0.189622358008615,0.35069618351197,"Additional sampling","5 indv. per site"
24,"Rare Alleles",0.285345687669037,0.201843133326655,0.365020534909346,"Additional sampling","5 indv. per site"
25,"Rare Alleles",0.292118601622759,0.192527296403887,0.367424621857157,"Additional sampling","5 indv. per site"
26,"Rare Alleles",0.307870479815687,0.216968847039968,0.385956125413202,"Additional sampling","5 indv. per site"
27,"Rare Alleles",0.317459380947611,0.226785535410197,0.388760893518982,"Additional sampling","5 indv. per site"
28,"Rare Alleles",0.326930481819092,0.229189622358009,0.402684563758389,"Additional sampling","5 indv. per site"
29,"Rare Alleles",0.332834719022338,0.23299609335871,0.408494440548933,"Additional sampling","5 indv. per site"
30,"Rare Alleles",0.340556045276971,0.231293198437343,0.415806871681859,"Additional sampling","5 indv. per site"
31,"Rare Alleles",0.353371731944305,0.270259441049785,0.429229690473805,"Additional sampling","5 indv. per site"
32,"Rare Alleles",0.361745166783532,0.275468296103376,0.440148252028448,"Additional sampling","5 indv. per site"
33,"Rare Alleles",0.370791044776119,0.295101672843835,0.454172092557347,"Additional sampling","5 indv. per site"
34,"Rare Alleles",0.377839527196234,0.260242412100571,0.448562556345788,"Additional sampling","5 indv. per site"
35,"Rare Alleles",0.384351898226986,0.286887709105479,0.460482820795352,"Additional sampling","5 indv. per site"
36,"Rare Alleles",0.395253531002705,0.299809676449965,0.474306320745267,"Additional sampling","5 indv. per site"
37,"Rare Alleles",0.403833216467996,0.286787538815987,0.47681057798257,"Additional sampling","5 indv. per site"
